TITLE OF ARTICLE,URL OF ARTICLE,SUMMARY,DATE/TIME INFO WAS EXTRACTED
Afrikaanse varkenspest,https://www.boerderij.nl/Varkenshouderij/Dossiers/afrikaansevarkenspest/,Lees in dit dossier alles over de Afrikaanse varkenspest.,2018-11-15 16:43:19.637649
Gewasbescherming,http://www.boerderij.nl/gewasbescherming?cmpid=ILC|Dossier|C3_contentmarketing|home|keuze-redactie|tp-gewasbescherming,Gezonde gewassen zijn belangrijk. Lees de tips van Boerderij.,2018-11-15 16:43:19.638156
Alles over asbest,/asbest?cmpid=ILC|Dossier|C3_contentmarketing|home|keuze-redactie|asbest,De bodem van de rijkssubsidiepot voor asbestsanering is in zicht. Lees alles over asbest verwijderen en subsidies.,2018-11-15 16:43:19.638662
100 Seconden Dierenarts,https://www.boerderij.nl/100secondendierenarts?cmpid=ILC|Dossier|C3_contentmarketing|home|keuze-redactie|100secondendierenarts,Dierenartsen lichten in video's binnen 100 seconden een gezondheidsvraag toe en geven handige tips.,2018-11-15 16:43:19.639207
‘FrieslandCampina: zeggen én doen’,https://www.boerderij.nl/Rundveehouderij/Blogs/2018/11/FrieslandCampina-zeggen-en-doen-359506E/,"
Door Klaas van der Horst
Op 9:55
In Rundveehouderij
",2018-11-15 16:43:19.639899
‘Nepnieuws’,https://www.boerderij.nl/Home/Blogs/2018/11/Nepnieuws-358486E/,"
Door Joost de Rooij
Op 6:00
In Algemeen
",2018-11-15 16:43:19.640581
"‘Krimp leidt tot 1,4 miljoen onbenutte varkensrechten‘",https://www.boerderij.nl/Varkenshouderij/Blogs/2018/11/Krimp-leidt-tot-14-miljoen-onbenutte-varkensrechten-358380E/,"
Door Robert Bodde
Op 14 nov
In Varkenshouderij
",2018-11-15 16:43:19.641358
EuroTier: elektrisch en onbemand voeren zet door,https://www.boerderij.nl/Home/Foto-Video/2018/11/Eurotier-elektrisch-en-onbemand-voeren-zet-door-359909E/,Elektrificatie en autonomie voeren de boventoon bij voer- en mesttechniek op de Eurotier.,2018-11-15 16:43:19.642015
Aandacht voor mest en zand in Canadese stal,https://www.boerderij.nl/Rundveehouderij/Foto-Video/2018/11/Aandacht-voor-mest-en-zand-in-Canadese-stal-350868E/,"
Op 6:10
In Rundveehouderij
",2018-11-15 16:43:19.642625
Belangstelling voor Black Angus-rundvlees groeit,https://www.boerderij.nl/Rundveehouderij/Foto-Video/2018/11/Belangstelling-voor-Black-Angus-rundvlees-groeit-351092E/,"
Op 14 nov
In Rundveehouderij
",2018-11-15 16:43:19.643288
Veel vaknieuws op veehouderijbeurs EuroTier,https://www.boerderij.nl/Rundveehouderij/Foto-Video/2018/11/Veel-vaknieuws-op-veehouderijbeurs-EuroTier-358815E/,"
Op 13 nov
In Rundveehouderij
",2018-11-15 16:43:19.643945
Jongste kalveren bij elkaar in nieuwe stal (1),https://www.boerderij.nl/Rundveehouderij/Foto-Video/2018/11/Jongste-kalveren-bij-elkaar-in-nieuwe-stal-1-357966E/,"
Op 13 nov
In Rundveehouderij
",2018-11-15 16:43:19.644637
